location_slug,location_name,location_address,location_phone,location_hours
granby,RUBINO Granby, 961 rue Principale Granby QC J2G 2Z5, 450-361-1551, 9:30am – 5:30pm/9:30am – 5:30pm/9:30am – 5:30pm/9:30am – 9:00pm/9:30am – 9:00pm/9:30am – 5:00pm/10:00am – 5:00pm		
drummondville,RUBINO Drummondville,353 rue Janelle Drummondville QC J2C 3E2,819-472-9119,9:30am – 5:30pm/9:30am – 5:30pm/9:30am – 5:30pm/9:30am – 9:00pm/9:30am – 9:00pm/9:30am – 5:00pm/10:00am – 5:00pm		
victoriaville,RUBINO Victoriaville,600 Rue Notre Dame E Victoriaville QC G6P 0B4, 819-752-5858, 9:30am – 5:30pm/9:30am – 5:30pm/9:30am – 5:30pm/9:30am – 9:00pm/9:30am – 9:00pm/9:30am – 5:00pm/10:00am – 5:00pm		
saint-hyacinthe, RUBINO St-Hyacinthe, 1370 boul. Casavant Est St-Hyacinthe QC J2S 0G2, 450-778-1914 , 9:30am – 5:30pm/9:30am – 5:30pm/9:30am – 5:30pm/9:30am – 9:00pm/9:30am – 9:00pm/9:30am – 5:00pm/10:00am – 5:00pm		
st-jean-sur-richelieu, RUBINO St-Jean-sur-Richelieu, 1035 Boul Du Seminaire Nord St-Jean-sur-Richelieu QC J3A 1R7,450-349-4747,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm 
saint-hubert, RUBINO St-Hubert, 5827 Boul. Cousineau St-Hubert QC J3Y 7P5, 450-462-4931, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
brossard, RUBINO Brossard, 7350 Taschereau local 39A Brossard QC J4W 1M9, 450-465-6060 , 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
place-longueuil, RUBINO Longueuil, 825 rue Saint Laurent O Longueuil QC J4K 2V1,450-651-8778, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/9am – 5:00pm/10:00am – 5:00pm
repentigny, RUBINO Repentigny,215 Boul. Brien Repentigny QC J6A 6M4 , 450-585-0217, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
pointe-aux-trembles,RUBINO Pointe-aux-Trembles,1400 St-Jean Baptiste Pointe-aux-Trembles QC H1B 4A5 , 514-645-2793, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
delson,RUBINO Delson, 70C Rte 132 Delson QC J5B 0A1,450-635-2626, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/9:30am – 5:00pm/10:00am – 5:00pm
centre-domaine, RUBINO Centre Domaine,3235 Ave de Granby Montréal QC H1N 2Z7,514-254-9400,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/9am – 5:00pm/10:00am – 5:00pm
jean-talon, RUBINO Jean Talon, 4465 Jean Talon St-Léonard QC H1S 1J9, 514-723-7776, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
riviere-des-prairies, RUBINO Rivières des Prairies,9073 Maurice Duplessis Rivière-des-Praires QC H1E 6M3 ,514-494-4240,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
saint-leonard,RUBINO St-Léonard,5930 des Grandes Prairies St-Léonard QC	H1P 1A4 ,514-326-7901, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
decarie,RUBINO Décarie,	6900 Boul. Décarie Côte St-Luc QC H3X 2T8 ,514-340-7779,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
joliette, RUBINO Joliette,537 rue Notre-Dame Joliette QC J6E 3H6 ,450-752-1771,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
duvernay-laval,RUBINO Duvernay-Laval,3350 Boul de la Concorde E Laval QC H7E 2C2 ,450-664-0990, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
galerie-normandie, RUBINO Galeries Normandie, 2620 de Salaberry Montréal QC H3M 1L3, 514-334-4607,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
vimont-laval, RUBINO Vimont-Laval, 1903 René Laennec Vimont QC H7M 5E2, 450-629-5919, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
terrebonne, RUBINO Terrebonne,712 Boul. des Seigneurs Terrebonne QC J6W 1T6 ,450-492-0373, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
chomedey-laval,RUBINO Chomedey Laval,1545 Boul. Le Corbusier Chomedey QC	H7S 2K6	,450-682-5956,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
dollard-des-ormeaux, RUBINO Dollard-des-Ormeaux, 3131 Boulevard des Sources Dollard-des-Ormeaux QC H9B 1Z6	,514-685-7979,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
rosemere,RUBINO Rosemère,247 Boulevard Labelle Rosemere QC J7A 2H3,450-430-7956,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
saint-eustache,RUBINO Saint-Eustache,175 25eme Avenue St-Eustache QC J7P 2V1 ,450-473-5002,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
levis, RUBINO Lévis, 44 Rte du Président Kennedy Lévis QC G6V 6C5,418-837-0990,9:30am – 5:30pm/9:30am – 5:30pm/9:30am – 5:30pm/9:30am – 9:00pm/9:30am – 9:00pm/9:30am – 5:00pm/10:00am – 5:00pm		
vanier,	RUBINO Vanier,455 Soumande Québec QC G1M 2X6, 418-527-3960, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
st-jerome,RUBINO St-Jérôme,61 Valmont St-Jérôme QC J7Y 4Y2, 450-436-8480, 10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/9am – 5:00pm/10:00am – 5:00pm
beauport, RUBINO Beauport, 2817 Avenue St-David Québec QC G1C 0J3,418-666-8003,10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 6:00pm/10:00am – 9:00pm/10:00am – 9:00pm/10:00am – 5:00pm/11:00am – 5:00pm
